subzone,FIPS,county,state,chicago,area
1,17,COOK,IL,1,0.062503
2,17,COOK,IL,1,0.064079
3,17,COOK,IL,1,0.063109
4,17,COOK,IL,1,0.064222
5,17,COOK,IL,1,0.062785
6,17,COOK,IL,1,0.063324
7,17,COOK,IL,1,0.063366
8,17,COOK,IL,1,0.064217
9,17,COOK,IL,1,0.063604
10,17,COOK,IL,1,0.063722
11,17,COOK,IL,1,0.063328
12,17,COOK,IL,1,0.063165
13,17,COOK,IL,1,0.063635
14,17,COOK,IL,1,0.064009
15,17,COOK,IL,1,0.06329
16,17,COOK,IL,1,0.062663
17,17,COOK,IL,1,0.250225
18,17,COOK,IL,1,0.06384
19,17,COOK,IL,1,0.063458
20,17,COOK,IL,1,0.062441
21,17,COOK,IL,1,0.062648
22,17,COOK,IL,1,0.113942
23,17,COOK,IL,1,0.094318
24,17,COOK,IL,1,0.062821
25,17,COOK,IL,1,0.063423
26,17,COOK,IL,1,0.062604
27,17,COOK,IL,1,0.063154
28,17,COOK,IL,1,0.280301
29,17,COOK,IL,1,0.104242
30,17,COOK,IL,1,0.126256
31,17,COOK,IL,1,0.064096
32,17,COOK,IL,1,0.062407
33,17,COOK,IL,1,0.122979
34,17,COOK,IL,1,0.127387
35,17,COOK,IL,1,0.066166
36,17,COOK,IL,1,0.059831
37,17,COOK,IL,1,0.064464
38,17,COOK,IL,1,0.064272
39,17,COOK,IL,1,0.062376
40,17,COOK,IL,1,0.062976
41,17,COOK,IL,1,0.064263
42,17,COOK,IL,1,0.064475
43,17,COOK,IL,1,0.062287
44,17,COOK,IL,1,0.063403
45,17,COOK,IL,1,0.065471
46,17,COOK,IL,1,0.066869
47,17,COOK,IL,1,0.059377
48,17,COOK,IL,1,0.06155
49,17,COOK,IL,1,0.06533
50,17,COOK,IL,1,0.067757
51,17,COOK,IL,1,0.058784
52,17,COOK,IL,1,0.061739
53,17,COOK,IL,1,0.161606
54,17,COOK,IL,1,0.294269
55,17,COOK,IL,1,0.25359
56,17,COOK,IL,1,0.252613
57,17,COOK,IL,1,0.25149
58,17,COOK,IL,1,0.251508
59,17,COOK,IL,1,0.251024
60,17,COOK,IL,1,0.250738
61,17,COOK,IL,1,0.250357
62,17,COOK,IL,1,0.250356
63,17,COOK,IL,1,0.252495
64,17,COOK,IL,1,0.252895
65,17,COOK,IL,1,0.252353
66,17,COOK,IL,1,0.252737
67,17,COOK,IL,1,0.253639
68,17,COOK,IL,1,0.253464
69,17,COOK,IL,1,0.253775
70,17,COOK,IL,1,0.253569
71,17,COOK,IL,1,0.251412
72,17,COOK,IL,1,0.251555
73,17,COOK,IL,1,0.252006
74,17,COOK,IL,1,0.252122
75,17,COOK,IL,1,0.25079
76,17,COOK,IL,1,0.250555
77,17,COOK,IL,1,0.25069
78,17,COOK,IL,1,0.250483
79,17,COOK,IL,1,0.2525
80,17,COOK,IL,1,0.251933
81,17,COOK,IL,1,0.252443
82,17,COOK,IL,1,0.251872
83,17,COOK,IL,1,0.106655
84,17,COOK,IL,1,0.089916
85,17,COOK,IL,1,0.251178
86,17,COOK,IL,1,0.257602
87,17,COOK,IL,1,0.249875
88,17,COOK,IL,1,0.255213
89,17,COOK,IL,1,0.252196
90,17,COOK,IL,1,0.257795
91,17,COOK,IL,1,0.252155
92,17,COOK,IL,1,0.259019
93,17,COOK,IL,1,0.252453
94,17,COOK,IL,1,0.259825
95,17,COOK,IL,1,0.252436
96,17,COOK,IL,1,0.260213
97,17,COOK,IL,1,0.250655
98,17,COOK,IL,1,0.258577
99,17,COOK,IL,1,0.250638
100,17,COOK,IL,1,0.256964
101,17,COOK,IL,1,0.258218
102,17,COOK,IL,1,0.251355
103,17,COOK,IL,1,0.294953
104,17,COOK,IL,1,0.250843
105,17,COOK,IL,1,0.251605
106,17,COOK,IL,1,0.251691
107,17,COOK,IL,1,0.252453
108,17,COOK,IL,1,0.252531
109,17,COOK,IL,1,0.252829
110,17,COOK,IL,1,0.252273
111,17,COOK,IL,1,0.252602
112,17,COOK,IL,1,0.252048
113,17,COOK,IL,1,0.250056
114,17,COOK,IL,1,0.253428
115,17,COOK,IL,1,0.250056
116,17,COOK,IL,1,0.250093
117,17,COOK,IL,1,0.250901
118,17,COOK,IL,1,0.255775
119,17,COOK,IL,1,0.250898
120,17,COOK,IL,1,0.256464
121,17,COOK,IL,1,0.249929
122,17,COOK,IL,1,0.250028
123,17,COOK,IL,1,0.250069
124,17,COOK,IL,1,0.250165
125,17,COOK,IL,1,0.312094
126,17,COOK,IL,1,0.251721
127,17,COOK,IL,1,0.251924
128,17,COOK,IL,1,0.251385
129,17,COOK,IL,1,0.202572
130,17,COOK,IL,1,0.254305
131,17,COOK,IL,1,0.256159
132,17,COOK,IL,1,0.257221
133,17,COOK,IL,1,0.257046
134,17,COOK,IL,1,0.256893
135,17,COOK,IL,1,0.2567
136,17,COOK,IL,1,0.254133
137,17,COOK,IL,1,0.253933
138,17,COOK,IL,1,0.254338
139,17,COOK,IL,1,0.254178
140,17,COOK,IL,1,0.252436
141,17,COOK,IL,1,0.251498
142,17,COOK,IL,1,0.255195
143,17,COOK,IL,1,0.254897
144,17,COOK,IL,1,0.256429
145,17,COOK,IL,1,0.256944
146,17,COOK,IL,1,0.255844
147,17,COOK,IL,1,0.255507
148,17,COOK,IL,1,0.255016
149,17,COOK,IL,1,0.25148
150,17,COOK,IL,1,0.251472
151,17,COOK,IL,1,0.254453
152,17,COOK,IL,1,0.254649
153,17,COOK,IL,1,0.250637
154,17,COOK,IL,1,0.250631
155,17,COOK,IL,1,0.253141
156,17,COOK,IL,1,0.252794
157,17,COOK,IL,1,0.24883
158,17,COOK,IL,1,0.248833
159,17,COOK,IL,1,0.255239
160,17,COOK,IL,1,0.256066
161,17,COOK,IL,1,0.251643
162,17,COOK,IL,1,0.251664
163,17,COOK,IL,1,0.256547
164,17,COOK,IL,1,0.256737
165,17,COOK,IL,1,0.251649
166,17,COOK,IL,1,0.251636
167,17,COOK,IL,1,0.255378
168,17,COOK,IL,1,0.258434
169,17,COOK,IL,1,0.249889
170,17,COOK,IL,1,0.252885
171,17,COOK,IL,1,0.250558
172,17,COOK,IL,1,0.253341
173,17,COOK,IL,1,0.250531
174,17,COOK,IL,1,0.252402
175,17,COOK,IL,1,0.253592
176,17,COOK,IL,1,0.252769
177,17,COOK,IL,1,0.253583
178,17,COOK,IL,1,0.252768
179,17,COOK,IL,1,0.252506
180,17,COOK,IL,1,0.253109
181,17,COOK,IL,1,0.25131
182,17,COOK,IL,1,0.251895
183,17,COOK,IL,1,0.250547
184,17,COOK,IL,1,0.250457
185,17,COOK,IL,1,0.252075
186,17,COOK,IL,1,0.251958
187,17,COOK,IL,1,0.25181
188,17,COOK,IL,1,0.25176
189,17,COOK,IL,1,0.251609
190,17,COOK,IL,1,0.251575
191,17,COOK,IL,1,0.248187
192,17,COOK,IL,1,0.256928
193,17,COOK,IL,1,0.295279
194,17,COOK,IL,1,0.271889
195,17,COOK,IL,1,0.255718
196,17,COOK,IL,1,0.253217
197,17,COOK,IL,1,0.27571
198,17,COOK,IL,1,0.289722
199,17,COOK,IL,1,0.25228
200,17,COOK,IL,1,0.249101
201,17,COOK,IL,1,0.255995
202,17,COOK,IL,1,0.257218
203,17,COOK,IL,1,0.290256
204,17,COOK,IL,1,0.269059
205,17,COOK,IL,1,0.255652
206,17,COOK,IL,1,0.254403
207,17,COOK,IL,1,0.253718
208,17,COOK,IL,1,0.254523
209,17,COOK,IL,1,0.253837
210,17,COOK,IL,1,0.250871
211,17,COOK,IL,1,0.250512
212,17,COOK,IL,1,0.250807
213,17,COOK,IL,1,0.250474
214,17,COOK,IL,1,0.252501
215,17,COOK,IL,1,0.252377
216,17,COOK,IL,1,0.252137
217,17,COOK,IL,1,0.251995
218,17,COOK,IL,1,0.250956
219,17,COOK,IL,1,0.252916
220,17,COOK,IL,1,0.25097
221,17,COOK,IL,1,0.252883
222,17,COOK,IL,1,0.251481
223,17,COOK,IL,1,0.252418
224,17,COOK,IL,1,0.251503
225,17,COOK,IL,1,0.25169
226,17,COOK,IL,1,0.251666
227,17,COOK,IL,1,0.252471
228,17,COOK,IL,1,0.252337
229,17,COOK,IL,1,0.253139
230,17,COOK,IL,1,0.250169
231,17,COOK,IL,1,0.249449
232,17,COOK,IL,1,0.249919
233,17,COOK,IL,1,0.24921
234,17,COOK,IL,1,0.253354
235,17,COOK,IL,1,0.252478
236,17,COOK,IL,1,0.291768
237,17,COOK,IL,1,0.253352
238,17,COOK,IL,1,0.250922
239,17,COOK,IL,1,0.248875
240,17,COOK,IL,1,0.288739
241,17,COOK,IL,1,0.262213
242,17,COOK,IL,1,0.247381
243,17,COOK,IL,1,0.243684
244,17,COOK,IL,1,0.24812
245,17,COOK,IL,1,0.247681
246,17,COOK,IL,1,0.248301
247,17,COOK,IL,1,0.247857
248,17,COOK,IL,1,0.252717
249,17,COOK,IL,1,0.251622
250,17,COOK,IL,1,0.252846
251,17,COOK,IL,1,0.251734
252,17,COOK,IL,1,0.250623
253,17,COOK,IL,1,0.250986
254,17,COOK,IL,1,0.250167
255,17,COOK,IL,1,0.250539
256,17,COOK,IL,1,0.251119
257,17,COOK,IL,1,0.239413
258,17,COOK,IL,1,0.294368
259,17,COOK,IL,1,0.252375
260,17,COOK,IL,1,0.250487
261,17,COOK,IL,1,0.251276
262,17,COOK,IL,1,0.248827
263,17,COOK,IL,1,0.299454
264,17,COOK,IL,1,0.230737
265,17,COOK,IL,1,0.248731
266,17,COOK,IL,1,0.255008
267,17,COOK,IL,1,0.255496
268,17,COOK,IL,1,0.253912
269,17,COOK,IL,1,0.216418
270,17,COOK,IL,1,0.251155
271,17,COOK,IL,1,0.251324
272,17,COOK,IL,1,0.252094
273,17,COOK,IL,1,0.252268
274,17,COOK,IL,1,0.250952
275,17,COOK,IL,1,0.250873
276,17,COOK,IL,1,0.251509
277,17,COOK,IL,1,0.251464
278,17,COOK,IL,1,0.250416
279,17,COOK,IL,1,0.251016
280,17,COOK,IL,1,0.248721
281,17,COOK,IL,1,0.249314
282,17,COOK,IL,1,0.274142
283,17,COOK,IL,1,0.259673
284,17,COOK,IL,1,0.436271
285,17,COOK,IL,1,0.197887
286,17,COOK,IL,1,0.252544
287,17,COOK,IL,1,0.253874
288,17,COOK,IL,1,0.256986
289,17,COOK,IL,1,0.264724
290,17,COOK,IL,1,0.325388
291,17,COOK,IL,1,0.250334
292,17,COOK,IL,1,0.25497
293,17,COOK,IL,1,0.272794
294,17,COOK,IL,1,0.31594
295,17,COOK,IL,1,0.252289
296,17,COOK,IL,1,0.256046
297,17,COOK,IL,1,0.150396
298,17,COOK,IL,1,0.257772
299,17,COOK,IL,1,0.153674
300,17,COOK,IL,1,0.252287
301,17,COOK,IL,1,0.151499
302,17,COOK,IL,1,0.251962
303,17,COOK,IL,1,0.149259
304,17,COOK,IL,1,0.252179
305,17,COOK,IL,1,0.250929
306,17,COOK,IL,1,0.255897
307,17,COOK,IL,1,0.250923
308,17,COOK,IL,1,0.253325
309,17,COOK,IL,1,0.250185
310,17,COOK,IL,1,0.248454
311,17,COOK,IL,1,0.25019
312,17,COOK,IL,1,0.246804
313,17,COOK,IL,1,0.147389
314,17,COOK,IL,1,0.252178
315,17,COOK,IL,1,0.145013
316,17,COOK,IL,1,0.252263
317,17,COOK,IL,1,0.141444
318,17,COOK,IL,1,0.251446
319,17,COOK,IL,1,0.138998
320,17,COOK,IL,1,0.252222
321,17,COOK,IL,1,0.251191
322,17,COOK,IL,1,0.250562
323,17,COOK,IL,1,0.251221
324,17,COOK,IL,1,0.252986
325,17,COOK,IL,1,0.249694
326,17,COOK,IL,1,0.254241
327,17,COOK,IL,1,0.249678
328,17,COOK,IL,1,0.258712
329,17,COOK,IL,1,0.132573
330,17,COOK,IL,1,0.249316
331,17,COOK,IL,1,0.129559
332,17,COOK,IL,1,0.251927
333,17,COOK,IL,1,0.252075
334,17,COOK,IL,1,0.251563
335,17,COOK,IL,1,0.252752
336,17,COOK,IL,1,0.252758
337,17,COOK,IL,1,0.251444
338,17,COOK,IL,1,0.251711
339,17,COOK,IL,1,0.252421
340,17,COOK,IL,1,0.252418
341,17,COOK,IL,1,0.251041
342,17,COOK,IL,1,0.251262
343,17,COOK,IL,1,0.252298
344,17,COOK,IL,1,0.252285
345,17,COOK,IL,1,0.252727
346,17,COOK,IL,1,0.250578
347,17,COOK,IL,1,0.261585
