subzone,fips,cnty_name,state,puma1,puma5,zone17,chicago,cbd,row_column,area
1,17031,"""COOK""","""IL""",17503,3510,4,1,1,1,0.062503
2,17031,"""COOK""","""IL""",17503,3510,3,1,1,1,0.064079
3,17031,"""COOK""","""IL""",17503,3510,11,1,1,1,0.063109
4,17031,"""COOK""","""IL""",17503,3510,10,1,1,1,0.064222
5,17031,"""COOK""","""IL""",17503,3510,2,1,1,1,0.062785
6,17031,"""COOK""","""IL""",17503,3509,1,1,1,1,0.063324
7,17031,"""COOK""","""IL""",17503,3510,9,1,1,1,0.063366
8,17031,"""COOK""","""IL""",17503,3509,8,1,1,1,0.064217
9,17031,"""COOK""","""IL""",17503,3510,17,1,1,1,0.063604
10,17031,"""COOK""","""IL""",17503,3510,16,1,1,1,0.063722
11,17031,"""COOK""","""IL""",17503,3510,23,1,1,1,0.063328
12,17031,"""COOK""","""IL""",17503,3510,22,1,1,1,0.063165
13,17031,"""COOK""","""IL""",17503,3510,15,1,1,1,0.063635
14,17031,"""COOK""","""IL""",17503,3510,14,1,1,1,0.064009
15,17031,"""COOK""","""IL""",17503,3510,21,1,1,1,0.06329
16,17031,"""COOK""","""IL""",17503,3510,20,1,1,1,0.062663
17,17031,"""COOK""","""IL""",17503,3510,7,1,1,1,0.250225
18,17031,"""COOK""","""IL""",17503,3510,6,1,1,1,0.06384
19,17031,"""COOK""","""IL""",17503,3510,5,1,1,1,0.063458
20,17031,"""COOK""","""IL""",17503,3510,13,1,1,1,0.062441
21,17031,"""COOK""","""IL""",17503,3510,12,1,1,1,0.062648
22,17031,"""COOK""","""IL""",17503,3510,19,1,1,1,0.113942
23,17031,"""COOK""","""IL""",17503,3510,25,1,1,1,0.094318
24,17031,"""COOK""","""IL""",17503,3510,19,1,1,1,0.062821
25,17031,"""COOK""","""IL""",17503,3510,18,1,1,1,0.063423
26,17031,"""COOK""","""IL""",17503,3510,25,1,1,1,0.062604
27,17031,"""COOK""","""IL""",17503,3510,24,1,1,1,0.063154
28,17031,"""COOK""","""IL""",17503,3510,7,1,1,1,0.280301
29,17031,"""COOK""","""IL""",17503,3510,31,1,1,1,0.104242
30,17031,"""COOK""","""IL""",17503,3510,31,1,1,1,0.126256
31,17031,"""COOK""","""IL""",17503,3510,30,1,1,1,0.064096
32,17031,"""COOK""","""IL""",17503,3510,36,1,1,1,0.062407
33,17031,"""COOK""","""IL""",17503,3510,42,1,1,1,0.122979
34,17031,"""COOK""","""IL""",17503,3510,42,1,1,1,0.127387
35,17031,"""COOK""","""IL""",17503,3510,41,1,1,1,0.066166
36,17031,"""COOK""","""IL""",17503,3510,47,1,1,1,0.059831
37,17031,"""COOK""","""IL""",17503,3510,29,1,1,1,0.064464
38,17031,"""COOK""","""IL""",17503,3510,28,1,1,1,0.064272
39,17031,"""COOK""","""IL""",17503,3510,35,1,1,1,0.062376
40,17031,"""COOK""","""IL""",17503,3510,34,1,1,1,0.062976
41,17031,"""COOK""","""IL""",17503,3510,27,1,1,1,0.064263
42,17031,"""COOK""","""IL""",17503,3510,26,1,1,1,0.064475
43,17031,"""COOK""","""IL""",17503,3510,33,1,1,1,0.062287
44,17031,"""COOK""","""IL""",17503,3510,32,1,1,1,0.063403
45,17031,"""COOK""","""IL""",17503,3510,40,1,1,1,0.065471
46,17031,"""COOK""","""IL""",17503,3510,39,1,1,1,0.066869
47,17031,"""COOK""","""IL""",17503,3510,46,1,1,1,0.059377
48,17031,"""COOK""","""IL""",17503,3510,45,1,1,1,0.06155
49,17031,"""COOK""","""IL""",17503,3510,38,1,1,1,0.06533
50,17031,"""COOK""","""IL""",17503,3510,37,1,1,1,0.067757
51,17031,"""COOK""","""IL""",17503,3510,44,1,1,1,0.058784
52,17031,"""COOK""","""IL""",17503,3510,43,1,1,1,0.061739
53,17031,"""COOK""","""IL""",17503,3510,52,1,0,1,0.161606
54,17031,"""COOK""","""IL""",17503,3510,57,1,0,1,0.294269
55,17031,"""COOK""","""IL""",17503,3510,51,1,0,1,0.25359
56,17031,"""COOK""","""IL""",17503,3510,50,1,0,1,0.252613
57,17031,"""COOK""","""IL""",17503,3510,56,1,0,1,0.25149
58,17031,"""COOK""","""IL""",17503,3510,55,1,0,1,0.251508
59,17031,"""COOK""","""IL""",17503,3510,49,1,0,1,0.251024
60,17031,"""COOK""","""IL""",17503,3509,48,1,0,1,0.250738
61,17031,"""COOK""","""IL""",17503,3509,54,1,0,1,0.250357
62,17031,"""COOK""","""IL""",17503,3509,53,1,0,1,0.250356
63,17031,"""COOK""","""IL""",17503,3509,59,1,0,1,0.252495
64,17031,"""COOK""","""IL""",17503,3509,58,1,0,1,0.252895
65,17031,"""COOK""","""IL""",17503,3510,61,1,0,1,0.252353
66,17031,"""COOK""","""IL""",17503,3510,60,1,0,1,0.252737
67,17031,"""COOK""","""IL""",17503,3510,63,1,0,1,0.253639
68,17031,"""COOK""","""IL""",17503,3510,62,1,0,1,0.253464
69,17031,"""COOK""","""IL""",17503,3510,65,1,0,1,0.253775
70,17031,"""COOK""","""IL""",17503,3510,64,1,0,1,0.253569
71,17031,"""COOK""","""IL""",17503,3510,67,1,0,1,0.251412
